path	size_bytes	classification	reason	replacement_or_canonical_reference
scripts/writeback-probe.sh scripts/writeback-registration.py	n/a	KEEP_CANONICAL	drive the writeback probe that produced the decisive dx measurements	kodi-pause-horizontal-shift-2026-09-10.md
scripts/run-kodi-rk3588.sh scripts/build-kodi.sh scripts/install-mali-runtime.sh scripts/env.sh config/kodi/guisettings-appliance.xml	n/a	KEEP_RUNTIME	the current build/deploy/run path for the accepted baseline	runtime-keep-manifest.tsv
scripts/run-mp1a.sh scripts/run-mp1b.sh scripts/blind-ab.py scripts/tv-state.sh scripts/build-remote.sh scripts/deploy-assets.sh scripts/make-test-assets.sh tests/run-host-tests.sh	n/a	KEEP_CANONICAL	reproduce the accepted MP1a/MP1b/MP1b-FINAL gates	docs/gates.md
scripts/capture-kodi-state.sh scripts/capture-color-state.sh scripts/monitor-cadence-probe.sh scripts/gui-load-sample.sh scripts/mali-probe.sh	n/a	KEEP_CANONICAL	MP2 instruments cited by the quality-recovery report	kodi-mp2-quality-recovery-2026-09-10.md
results/	207100	KEEP_CANONICAL	eight final reports including the Android oracle, the Android-parity fix, MP1a/MP1b and MA0	n/a
logs/orangepi5-ultra-android/android-hdr-golden-reference-2026-09-11	11534336	KEEP_CANONICAL	raw evidence of the golden oracle, 117 files under a complete SHA256SUMS	results/orangepi5-ultra-android/android-hdr-golden-reference-2026-09-11.md
logs/orangepi5-ultra-vendor/* (eight gate directories)	8400000	KEEP_CANONICAL	each is the raw evidence of a retained report and each carries a complete SHA256SUMS covering every file; removing any member would invalidate the manifest the reports cite	results/
logs/orangepi5-ultra-vendor/kodi-mp2-2026-09-09/STATUS.md	4700	KEEP_AMBIGUOUS	an at-stop snapshot of the incomplete MP2 session; its conclusions are superseded but it is dated historical evidence inside a SHA256SUMS-verified set, so it is not a current document that contradicts the architecture	superseded by kodi-mp2-quality-recovery-2026-09-10.md
assets/ (untracked)	12601310	KEEP_AMBIGUOUS	generated MP1a test clips; already gitignored, regenerable only with an ffmpeg built with libx265, and the input to scripts/run-mp1a.sh	scripts/make-test-assets.sh
.claude/ (repo root, untracked)	1101300	KEEP_AMBIGUOUS	operator's local Claude settings and session telemetry; not the project's to delete, but added to .gitignore so it can never be committed	n/a
~/build/linux-rockchip-vop2 (host, outside the repo)	n/a	KEEP_AMBIGUOUS	kernel source tree of the rejected RGB-force experiment; outside both the repository and the appliance, so outside this gate's stated scope	reported, not touched
